,KOI (star),RA,Dec,KOI (Planet),KOI Disposition,Transit Epoch (BJD)
0,247,18:59:59.66,50:08:48.44,247.01,PC,2455014.12621
1,248,19:29:10.7,40:35:30.44,248.01,Confirmed,2455003.285731
2,248,19:29:10.7,40:35:30.44,248.02,Confirmed,2455002.85247
3,248,19:29:10.7,40:35:30.44,248.03,Confirmed,2455005.126911
4,248,19:29:10.7,40:35:30.44,248.04,Confirmed,2454974.26331
5,250,18:59:45.83,46:33:59.54,250.01,Confirmed,2455003.39809
6,250,18:59:45.83,46:33:59.54,250.02,Confirmed,2454982.886479
7,250,18:59:45.83,46:33:59.54,250.03,Confirmed,2454969.26075
8,250,18:59:45.83,46:33:59.54,250.04,Confirmed,2454969.74468
9,251,19:53:01.95,47:36:17.78,251.01,Confirmed,2455004.087935
10,251,19:53:01.95,47:36:17.78,251.02,Confirmed,2454965.96695
11,252,19:21:36.36,48:49:21.32,252.01,PC,2455003.4984
12,253,19:02:17.84,49:57:44.17,253.01,PC,2455003.604622
13,253,19:02:17.84,49:57:44.17,253.02,PC,2454978.51232
14,254,19:31:29.49,41:03:51.37,254.01,Confirmed,2455003.821762
15,255,19:11:25.95,42:32:33.46,255.01,Confirmed,2455022.824523
16,255,19:11:25.95,42:32:33.46,255.02,PC,2454973.3975
17,255,19:11:25.95,42:32:33.46,255.03,FP,2454966.58981
18,256,19:00:44.43,49:33:55.33,256.01,FP,2455002.780113
19,314,19:21:31.56,43:17:34.76,314.01,Confirmed,2455010.852785
20,314,19:21:31.56,43:17:34.76,314.02,Confirmed,2455004.007634
21,314,19:21:31.56,43:17:34.76,314.03,Confirmed,2454966.53528
22,463,20:00:49.46,45:01:05.3,463.01,Confirmed,2455018.269061
23,478,19:52:25.37,48:24:04.14,478.01,Confirmed,2455004.114662
24,531,19:10:45.89,47:32:48.85,531.01,PC,2455003.8803594
25,571,19:54:36.65,43:57:18.08,571.01,Confirmed,2455007.31292
26,571,19:54:36.65,43:57:18.08,571.02,Confirmed,2455009.90387
27,571,19:54:36.65,43:57:18.08,571.03,Confirmed,2454966.32959
28,571,19:54:36.65,43:57:18.08,571.04,Confirmed,2454986.79858
29,571,19:54:36.65,43:57:18.08,571.05,Confirmed,2455009.82285
30,596,18:54:57.77,47:30:58.64,596.01,Confirmed,2455003.453117
31,641,19:57:11.87,40:14:06.25,641.01,PC,2455010.9987
32,739,18:51:56.11,47:34:42.92,739.01,Confirmed,2455002.815491
33,781,19:44:53.27,50:17:13.99,781.01,Confirmed,2455013.395376
34,812,19:04:18.99,39:16:41.95,812.01,Confirmed,2455004.979062
35,812,19:04:18.99,39:16:41.95,812.02,Confirmed,2454980.46554
36,812,19:04:18.99,39:16:41.95,812.03,Confirmed,2454998.23729
37,812,19:04:18.99,39:16:41.95,812.04,Confirmed,2454969.54995
38,817,18:55:27.93,39:53:53.08,817.01,Confirmed,2455019.22182
39,817,18:55:27.93,39:53:53.08,817.02,Confirmed,2454968.79284
40,818,19:15:14.88,40:02:00.24,818.01,Confirmed,2455009.33968
41,854,19:18:02.04,41:48:43.63,854.01,Confirmed,2455034.16578
42,886,19:39:05.74,43:03:22.68,886.01,Confirmed,2455003.20739
43,886,19:39:05.74,43:03:22.68,886.02,Confirmed,2454976.45948
44,886,19:39:05.74,43:03:22.68,886.03,Confirmed,2454985.31554
45,898,18:48:55.8,43:39:56.27,898.01,Confirmed,2455008.71372
46,898,18:48:55.8,43:39:56.27,898.02,Confirmed,2455005.63153
47,898,18:48:55.8,43:39:56.27,898.03,Confirmed,2454980.97788
48,899,19:47:56.41,43:39:30.67,899.01,Confirmed,2455007.32351
49,899,19:47:56.41,43:39:30.67,899.02,Confirmed,2454967.37211
50,899,19:47:56.41,43:39:30.67,899.03,Confirmed,2454980.38965
51,936,18:54:55.69,45:57:31.58,936.01,Confirmed,2455011.415842
52,936,18:54:55.69,45:57:31.58,936.02,Confirmed,2454967.540342
53,947,19:27:27.08,46:25:45.34,947.01,Confirmed,2455022.92667
54,952,19:51:22.18,46:34:27.36,952.01,Confirmed,2455004.40674
55,952,19:51:22.18,46:34:27.36,952.02,Confirmed,2455003.63671
56,952,19:51:22.18,46:34:27.36,952.03,Confirmed,2454988.20408
57,952,19:51:22.18,46:34:27.36,952.04,Confirmed,2454966.61228
58,952,19:51:22.18,46:34:27.36,952.05,Confirmed,2454966.27936
59,961,19:28:52.57,44:37:08.98,961.01,Confirmed,2455003.483645
60,961,19:28:52.57,44:37:08.98,961.02,Confirmed,2454966.869741
61,961,19:28:52.57,44:37:08.98,961.03,Confirmed,2454966.792344
62,977,19:30:52.71,48:51:07.26,977.01,PC,2455094.43662
63,1078,19:59:19.3,47:09:26.85,1078.01,Confirmed,2454967.869597
64,1078,19:59:19.3,47:09:26.85,1078.02,Confirmed,2454965.08426
65,1078,19:59:19.3,47:09:26.85,1078.03,Confirmed,2454991.03986
66,1085,18:44:12.03,47:11:17.33,1085.01,PC,2454972.15725
67,1141,18:50:53.77,44:20:47.29,1141.01,Confirmed,2454968.18066
68,1146,19:02:30.85,44:18:39.2,1146.01,Confirmed,2454969.34514
69,1201,19:30:18.49,39:07:15.17,1201.01,PC,2454966.05017
70,1393,18:54:13.33,45:36:51.34,1393.01,PC,2455188.357543
71,1397,19:58:42.65,45:58:20.38,1397.01,PC,2455189.90972
72,1408,19:21:10.69,45:33:52.6,1408.01,PC,2454978.42643
73,1408,19:21:10.69,45:33:52.6,1408.02,FP,2455041.4205685
74,1422,19:06:09.6,49:26:14.38,1422.01,Confirmed,2454968.92315
75,1422,19:06:09.6,49:26:14.38,1422.02,Confirmed,2454966.64933
76,1422,19:06:09.6,49:26:14.38,1422.03,Confirmed,2454964.12833
77,1422,19:06:09.6,49:26:14.38,1422.04,Confirmed,2454995.6161
78,1422,19:06:09.6,49:26:14.38,1422.05,Confirmed,2454969.03624
79,1427,19:11:25.85,48:46:26.79,1427.01,Confirmed,2454966.11283
80,1427,19:11:25.85,48:46:26.79,1427.02,PC,2454968.24744
81,1459,19:08:34.35,46:30:29.02,1459.01,FP,2454966.114177
82,1649,18:56:31.89,49:08:33.39,1649.01,PC,2454964.62995
83,1681,19:25:08.4,40:43:48.18,1681.01,PC,2454971.33927
84,1681,19:25:08.4,40:43:48.18,1681.03,PC,2454967.3171
85,1681,19:25:08.4,40:43:48.18,1681.02,FP,2454964.70565
86,1681,19:25:08.4,40:43:48.18,1681.04,PC,2454981.52144
87,1686,19:54:01.74,41:28:44.58,1686.01,FP,2454990.2619128
88,1702,19:50:55.02,42:52:00.91,1702.01,Confirmed,2454964.822823
89,1843,19:00:03.14,40:13:14.7,1843.01,Confirmed,2454967.13511
90,1843,19:00:03.14,40:13:14.7,1843.02,PC,2454970.49837
91,1867,19:30:34.17,44:05:15.61,1867.01,Confirmed,2454965.60803
92,1867,19:30:34.17,44:05:15.61,1867.02,Confirmed,2454965.17062
93,1867,19:30:34.17,44:05:15.61,1867.03,Confirmed,2454965.71052
94,1868,19:22:50.02,42:14:14.1,1868.01,Confirmed,2454970.50778
95,1879,19:30:27.39,44:23:40.78,1879.01,Confirmed,2454968.23432
96,1880,19:16:17.34,47:24:25.45,1880.01,Confirmed,2454966.231766
97,1902,19:47:30.44,41:04:50.1,1902.01,FP,2455005.8113
98,1907,18:51:26.38,42:39:56.74,1907.01,Confirmed,2454967.04612
99,2006,19:09:23.22,47:46:22.66,2006.01,Confirmed,2454967.45023
100,2036,19:47:25.59,41:45:29.44,2036.01,Confirmed,2454966.79856
101,2036,19:47:25.59,41:45:29.44,2036.02,Confirmed,2454969.77974
102,2057,18:57:54.37,46:15:09.28,2057.01,Confirmed,2454966.99359
103,2058,19:10:00.28,47:28:09.37,2058.01,Confirmed,2454964.61813
104,2090,19:24:22.26,49:11:24.22,2090.01,Confirmed,2454965.15985
105,2130,19:26:54.29,37:31:44.04,2130.01,PC,2454971.26808
106,2156,19:06:22.62,37:53:28.53,2156.01,Confirmed,2454965.044534
107,2179,19:34:41.81,47:54:30.45,2179.01,Confirmed,2454970.69573
108,2179,19:34:41.81,47:54:30.45,2179.02,Confirmed,2455187.09581
109,2191,19:00:20.77,40:53:56.39,2191.01,PC,2454973.15085
110,2238,19:21:44.17,44:06:27.54,2238.01,Confirmed,2454965.0615
111,2306,18:49:08.25,42:09:15.08,2306.01,FP,2454965.240449
112,2329,19:31:04.78,48:53:58.63,2329.01,PC,2454965.7846
113,2347,19:31:05.61,44:10:41.27,2347.01,Confirmed,2454965.058754
114,2417,19:36:01.3,46:18:38.49,2417.01,PC,2454979.3164
115,2418,19:49:56.81,46:59:48.16,2418.01,Confirmed,2455022.26162
116,2453,19:37:52.43,44:45:14.26,2453.01,PC,2454964.867506
117,2542,18:53:36.47,41:30:58.79,2542.01,PC,2454965.37007
118,2626,19:37:27.86,49:54:54.21,2626.01,Confirmed,2454973.00353
119,2650,19:34:02.66,45:08:11.72,2650.01,Confirmed,2454977.20912
120,2650,19:34:02.66,45:08:11.72,2650.02,Confirmed,2454969.18961
121,2662,19:03:42.93,38:31:15.53,2662.01,Confirmed,2454966.31612
122,2704,19:54:56.67,46:29:55.08,2704.01,Confirmed,2454966.64255
123,2704,19:54:56.67,46:29:55.08,2704.02,Confirmed,2454966.11908
124,2704,19:54:56.67,46:29:55.08,2704.03,Confirmed,2454967.19046
125,2705,19:23:49.48,49:21:59.03,2705.01,Confirmed,2454964.66592
126,2715,19:38:06.86,46:38:27.48,2715.01,Confirmed,2454972.54417
127,2715,19:38:06.86,46:38:27.48,2715.02,Confirmed,2454966.37195
128,2715,19:38:06.86,46:38:27.48,2715.03,PC,2454967.66576
129,2764,19:24:55.55,47:02:02.16,2764.01,PC,2454965.23957
130,2839,19:00:15.58,41:33:17.54,2839.01,Confirmed,2454964.83142
131,2842,18:49:00.05,44:55:15.99,2842.01,Confirmed,2454965.91281
132,2842,18:49:00.05,44:55:15.99,2842.02,Confirmed,2454966.31971
133,2842,18:49:00.05,44:55:15.99,2842.03,Confirmed,2454967.06146
134,2845,19:13:39.97,47:52:43.43,2845.01,Confirmed,2454964.86116
135,2862,19:11:47.67,42:09:22.1,2862.01,PC,2454977.18324
136,2926,18:53:20.65,47:10:28.35,2926.01,Confirmed,2454964.90073
137,2926,18:53:20.65,47:10:28.35,2926.02,Confirmed,2454964.88286
138,2926,18:53:20.65,47:10:28.35,2926.03,Confirmed,2454972.07664
139,2926,18:53:20.65,47:10:28.35,2926.04,Confirmed,2454991.8156
140,2926,18:53:20.65,47:10:28.35,2926.05,PC,2455034.9685
141,2992,19:46:56.94,44:30:05.33,2992.01,PC,2454985.6726
142,3010,19:22:02.45,38:44:36.75,3010.01,Confirmed,2455012.28674
143,3034,19:07:55.23,38:09:54.78,3034.01,PC,2454971.01479
144,3090,19:30:57.03,42:00:53.4,3090.01,PC,2454965.14965
145,3090,19:30:57.03,42:00:53.4,3090.02,FP,2454966.6558
146,3119,19:46:20.93,40:43:22.76,3119.01,PC,2454966.67492
147,3140,19:46:28.14,41:16:52.28,3140.01,PC,2454964.6672
148,3144,19:02:57.55,40:58:48.18,3144.01,Confirmed,2455373.04161
149,3263,19:00:23.01,50:06:03.46,3263.01,PC,2454979.882451
150,3282,19:36:19.94,50:30:09.97,3282.01,Confirmed,2454990.02073
151,3284,18:46:35,41:57:03.93,3284.01,Confirmed,2454968.36477
152,3414,18:57:59.11,41:19:33.2,3414.01,FP,2454974.2897316
153,3444,19:49:43.01,40:33:42.87,3444.01,PC,2454970.50707
154,3444,19:49:43.01,40:33:42.87,3444.02,FP,2454978.057472
155,3444,19:49:43.01,40:33:42.87,3444.03,PC,2454965.31984
156,3444,19:49:43.01,40:33:42.87,3444.04,FP,2454974.47344
157,3497,19:17:05.88,44:28:13.16,3497.01,Confirmed,2454967.29123
158,3749,19:00:01.85,49:30:14.32,3749.01,FP,2454965.90239
159,4087,19:01:23.99,41:27:07.95,4087.01,Confirmed,2455048.5204
160,4252,19:09:27.37,47:47:06.76,4252.01,PC,2454969.58529
161,4290,19:17:30.4,41:09:31.22,4290.01,Confirmed,2454968.1562
162,4427,19:40:28.13,39:16:26.72,4427.01,PC,2455076.95262
163,4875,19:23:07.71,38:11:16.04,4875.01,PC,2454964.81174
